f,c1,c2
2.015150291027278939e+00,5.000000000000000000e+00,4.000000000000000000e+00
-1.352464207261371731e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.591085907114042852e-01,1.000000000000000000e+00,4.000000000000000000e+00
3.227413074095226153e-01,1.000000000000000000e+00,4.000000000000000000e+00
-8.328021503820297600e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.330609830699573504e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.161984076607271987e+00,5.000000000000000000e+00,4.000000000000000000e+00
5.099143385541395901e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.626323338598463897e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.265551849376490345e+00,1.000000000000000000e+00,4.000000000000000000e+00
-6.830736618897982337e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.636262207340022368e+00,5.000000000000000000e+00,4.000000000000000000e+00
-6.210259422988159139e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.183531087136343141e+00,1.000000000000000000e+00,2.000000000000000000e+00
-8.319330918554194154e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.321330350930689956e+00,5.000000000000000000e+00,2.000000000000000000e+00
-5.028568225290960259e-01,5.000000000000000000e+00,2.000000000000000000e+00
-9.305022871473531687e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.236968315277924724e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.133224304528592102e-01,1.000000000000000000e+00,2.000000000000000000e+00
-7.314170335545561175e-02,5.000000000000000000e+00,4.000000000000000000e+00
6.525937245950211851e-01,1.000000000000000000e+00,4.000000000000000000e+00
-1.052471658240186736e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.101558010574813395e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.847375307017396828e+00,1.000000000000000000e+00,4.000000000000000000e+00
-8.600126083046355507e-01,1.000000000000000000e+00,2.000000000000000000e+00
-5.539178383002666406e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.174616713062495488e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.835847521484829770e+00,1.000000000000000000e+00,4.000000000000000000e+00
-1.342108241726214513e-01,5.000000000000000000e+00,2.000000000000000000e+00
-8.838261687232280561e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.346979939464590714e+00,5.000000000000000000e+00,2.000000000000000000e+00
-2.096796289940994207e-01,1.000000000000000000e+00,2.000000000000000000e+00
2.738572527633211795e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.853320903830070199e-01,1.000000000000000000e+00,2.000000000000000000e+00
1.512342017493870872e+00,5.000000000000000000e+00,2.000000000000000000e+00
-1.215614098438123208e-01,5.000000000000000000e+00,2.000000000000000000e+00
5.174497072880598209e-02,5.000000000000000000e+00,4.000000000000000000e+00
4.910954661398723720e-01,1.000000000000000000e+00,2.000000000000000000e+00
6.839140471069887761e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.157100285429445652e+00,1.000000000000000000e+00,4.000000000000000000e+00
5.271971797623725697e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.494050569197679090e-01,1.000000000000000000e+00,4.000000000000000000e+00
-4.047785834861327148e-01,1.000000000000000000e+00,2.000000000000000000e+00
-6.935393226789732246e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.228366967795045728e+00,1.000000000000000000e+00,4.000000000000000000e+00
-6.170996914427032687e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.324397037201856531e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.061691083295418503e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.383681057462011976e+00,5.000000000000000000e+00,4.000000000000000000e+00
8.549496471774302719e-01,1.000000000000000000e+00,2.000000000000000000e+00
3.008653305202121375e-01,1.000000000000000000e+00,2.000000000000000000e+00
-4.366457760247086095e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.397669081292367332e+00,1.000000000000000000e+00,4.000000000000000000e+00
2.270817855168311139e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.754945146962927138e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.248708146018614462e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.672300897959262622e-01,5.000000000000000000e+00,2.000000000000000000e+00
-2.220392614165094328e-02,1.000000000000000000e+00,4.000000000000000000e+00
1.029863620970562943e+00,1.000000000000000000e+00,2.000000000000000000e+00
4.393320867354797432e-01,1.000000000000000000e+00,2.000000000000000000e+00
8.460287950841431925e-01,1.000000000000000000e+00,4.000000000000000000e+00
4.902977672874709314e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.896846470333692358e-01,1.000000000000000000e+00,2.000000000000000000e+00
-3.210075293482299585e-01,1.000000000000000000e+00,2.000000000000000000e+00
-7.753458838395980157e-01,1.000000000000000000e+00,4.000000000000000000e+00
-9.133029429547901978e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.206886084026638661e+00,5.000000000000000000e+00,2.000000000000000000e+00
-9.506756642915579203e-01,1.000000000000000000e+00,4.000000000000000000e+00
-5.311627852136938666e-01,5.000000000000000000e+00,4.000000000000000000e+00
-3.147167011554229954e-01,1.000000000000000000e+00,4.000000000000000000e+00
1.586703771276809061e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.119273895193445778e+00,1.000000000000000000e+00,2.000000000000000000e+00
-9.499184573649889496e-02,5.000000000000000000e+00,2.000000000000000000e+00
-6.525888168149627244e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.485643455697188142e-01,5.000000000000000000e+00,2.000000000000000000e+00
-6.729794501928705319e-01,5.000000000000000000e+00,2.000000000000000000e+00
-9.539468100966312925e-01,5.000000000000000000e+00,2.000000000000000000e+00
-6.637603790176669349e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.214638062874244362e+00,1.000000000000000000e+00,4.000000000000000000e+00
7.644390585459662213e-02,1.000000000000000000e+00,4.000000000000000000e+00
-1.131680672938953358e-02,5.000000000000000000e+00,2.000000000000000000e+00
5.212450767105762939e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.185535699835231771e+00,5.000000000000000000e+00,2.000000000000000000e+00
7.688225977509426379e-01,5.000000000000000000e+00,2.000000000000000000e+00
-5.792796347610448260e-01,5.000000000000000000e+00,2.000000000000000000e+00
1.196038134976602496e+00,5.000000000000000000e+00,2.000000000000000000e+00
2.608097503694289720e+00,5.000000000000000000e+00,2.000000000000000000e+00
1.067608214801440081e+00,5.000000000000000000e+00,4.000000000000000000e+00
2.090477319469287443e-01,5.000000000000000000e+00,4.000000000000000000e+00
2.390171990220522902e-01,5.000000000000000000e+00,4.000000000000000000e+00
-1.810564782157229047e+00,1.000000000000000000e+00,4.000000000000000000e+00
-5.208190593057954176e-01,5.000000000000000000e+00,2.000000000000000000e+00
-3.469979284880469472e-01,1.000000000000000000e+00,2.000000000000000000e+00
-1.693316559825855938e+00,1.000000000000000000e+00,4.000000000000000000e+00
4.203514898446801817e-01,5.000000000000000000e+00,2.000000000000000000e+00
2.017164102497839284e-01,5.000000000000000000e+00,4.000000000000000000e+00
1.174334636117666308e+00,1.000000000000000000e+00,4.000000000000000000e+00
-2.015751409925820692e+00,5.000000000000000000e+00,4.000000000000000000e+00
6.653581128159171687e-01,1.000000000000000000e+00,2.000000000000000000e+00
-8.325854526678809486e-02,1.000000000000000000e+00,4.000000000000000000e+00
8.472703981813675123e-01,1.000000000000000000e+00,4.000000000000000000e+00
